Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Afghanistan,470.0,92.04188321058541,0.2,6.7,2.6771338882569253,0.51,2.85,46.551340753879565,0.97,0.0,99.7,0.0,-2.0767681380186716,60.3,7.0,866.0,7.0,36.47196460836616,186.0,6.0,4.32,27.91763921611431,5.5,0.11,19.5,51.5,-26622.22488420061,2.41,63.2,7.94751270769892,87.0,20.3,18.0,4.1,340.57614451935115,62.23,3.01,2795.0,2354.1862127570266,12.6
Albania,5303.0,45.25,7.5,2.3,2.041563014553841,0.8,6.08,39.53193074542072,0.5,0.17,58.8,0.0,-0.4421912447589449,9.7,14.0,3277.0,66.0,33.2,697.0,3.7,1.6,34.2,21.7,0.73,34.3,66.5,7901.0,0.13,78.0,38.2,164.0,86.9,24.0,4.0,332.3000798738716,303.72,62.44,390.0,2890.0,11.4
Algeria,3976.0,51.86611132357592,0.9,1.4,2.286247951978803,0.75,3.77,42.24765591435019,0.95,0.0,99.7,0.0,0.05677384340526004,23.3,13.0,2010.0,2.0,27.6,963.0,2.6,2.99,22.4,27.4,0.62,28.9,46.2,33205.0,1.67,77.1,18.4,153.0,19.5,27.8,4.3,171.02598835139565,141.53,123.87,3955.0,3090.0,22.5
Angola,2671.0,86.15858309930559,6.4,4.8,2.1677525245600524,0.58,3.66,43.40913034657105,0.88,0.75,0.3,0.0,0.2231094765750612,74.7,14.0,764.0,41.0,51.3,165.0,12.6,5.44,17.328462165199923,8.2,0.14,15.9,50.6,61417.0,3.28,63.1,25.0,93.0,27.0,21.4,3.5,-267.2243083320043,12.3,0.97,22.0,1960.0,21.55
Argentina,10041.0,51.51,9.8,5.3,1.6041309649862558,0.85,6.95,38.84499491143981,0.65,0.77,0.9,0.0,1.1,9.3,16.0,8640.0,72.0,41.4,1990.0,8.1,2.25,46.2,28.3,0.76,32.4,52.2,11644.0,0.94,76.6,79.7,230.0,97.9,33.2,5.5,-31.03555452378555,195.08,198.62,28010.0,3030.0,14.8
Armenia,4623.0,62.26593023880781,5.5,1.7,2.1783878154969596,0.78,5.35,42.692548830946606,0.79,0.98,0.1,0.0,0.0,11.8,14.0,1698.0,102.0,34.4,1037.0,2.7,1.76,34.3,20.2,0.69,36.6,67.7,26593.35595989361,0.15,76.0,27.7,74.0,98.9,26.3,2.3,405.21560102311787,209.03,176.51,396.0,2260.0,7.15
Australia,54763.0,77.88,10.6,0.9,2.1,0.94,8.96,48.0,0.32,0.52,2.6,0.03,0.78,3.6,10.0,28734.0,130.0,34.4,5005.0,11.3,1.66,27.6,29.0,0.85,37.5,80.9,14040.0,1.3,83.0,108.2,160.0,53.790414885886904,30.5,5.3,49.1,234.49,2153.17,28234.0,3220.0,21.65
Austria,49701.0,117.31,11.6,1.0,1.7169940634688938,0.92,8.16,39.0,0.55,0.6,8.0,0.0,0.06,3.5,14.0,14434.12049850222,165.0,29.7,5879.0,10.4,1.46,48.1,20.1,0.86,44.5,72.0,1742.0,0.24,81.6,94.1,95.0,87.45343997892957,30.3,5.5,25.4,258.09,1390.33,8056.0,3750.0,6.35
Azerbaijan,4782.0,50.93566604368715,0.8,2.2,2.272773409998954,0.76,2.68,46.21263714144156,0.39,0.03,96.9,0.0,0.05,20.4,14.0,1765.0,22.0,26.6,634.0,4.0,1.8,28.1,19.9,0.78,32.6,65.4,85710.0,0.98,71.4,15.9,208.0,98.4,23.7,2.5,725.0,152.07,76.49,542.0,3020.0,11.95
Bahrain,23504.0,58.53,1.9,0.5,2.135082932032846,0.85,2.49,42.00357866385356,0.94,0.15,73.7,0.03,-3.429843463789531,6.9,10.05299190825055,10893.715667900819,66.0,40.37958873443676,1955.0,7.2,1.96,28.1,29.8,0.91,32.9,66.4,36000.0,4.26,75.8,70.7,234.0,42.3,26.3,2.3,-721.4405158417628,86.27031661104627,205.17,40.0,3024.0369101577753,27.15
