Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Afghanistan,470,,0.2,6.7,,0.51,2.85,,0.97,0,99.7,0,,60.3,7,866,7,,186,6,4.32,,5.5,0.11,19.5,51.5,,2.41,63.2,,87,20.3,18,4.1,,62.23,3.01,2795,,12.6
Africa,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,64.5,,,,,,,,,,,
Albania,5303,45.25,7.5,2.3,,0.8,6.08,,0.5,0.17,58.8,0,,9.7,14,3277,66,33.2,697,3.7,1.6,34.2,21.7,0.73,34.3,66.5,7901,0.13,78,38.2,164,86.9,24,4,,303.72,62.44,390,2890,11.4
Algeria,3976,,0.9,1.4,,0.75,3.77,,0.95,0,99.7,0,,23.3,13,2010,2,27.6,963,2.6,2.99,22.4,27.4,0.62,28.9,46.2,33205,1.67,77.1,18.4,153,19.5,27.8,4.3,,141.53,123.87,3955,3090,22.5
American Samoa,,,,,,,,,,0.98,0.1,0,,,,,,,,,,,,,27.2,,,,,24.9,345,92.7,,,,,,46,,
Andorra,40887,191.23,11.3,0,,0.87,,,,0.9,2.6,0,,3,12,14397,,,3607,,1.3,36.3,25.6,0.99,46.2,,,-0.21,,,55,,,3.2,,,51.94,57,,7.6
Angola,2671,,6.4,4.8,,0.58,3.66,,0.88,0.75,0.3,0,,74.7,14,764,41,51.3,165,12.6,5.44,,8.2,0.14,15.9,50.6,61417,3.28,63.1,25,93,27,21.4,3.5,,12.3,0.97,22,1960,21.55
Anguilla,25529,,,28.3,,,,,,0.91,0.6,,,,,,5,,,,,,,0.82,35.7,,,,,,367,88,,,,,,,,
Antigua and Barbuda,17113,,7,11.1,,0.78,,,,0.74,0.3,,,6.6,8,6317,34,,1406,0.3,1.99,,18.9,0.81,32.7,,,1.01,76.5,56,302,,25.7,2.5,,123.74,62.31,,2330,26
Argentina,10041,51.51,9.8,5.3,,0.85,6.95,,0.65,0.77,0.9,0,1.1,9.3,16,8640,72,41.4,1990,8.1,2.25,46.2,28.3,0.76,32.4,52.2,11644,0.94,76.6,79.7,230,97.9,33.2,5.5,,195.08,198.62,28010,3030,14.8
Armenia,4623,,5.5,1.7,,0.78,5.35,,0.79,0.98,0.1,0,0,11.8,14,1698,102,34.4,1037,2.7,1.76,34.3,20.2,0.69,36.6,67.7,,0.15,76,27.7,74,98.9,26.3,2.3,,209.03,176.51,396,2260,7.15
Aruba,30975,,,1.9,,,,,,0.88,0.4,0,,,,,28,,,,1.9,,,0.97,39.9,,,,,,165,88.9,,,,,,,,
Australia,54763,77.88,10.6,0.9,2.1,0.94,8.96,48,0.32,0.52,2.6,0.03,0.78,3.6,10,28734,130,34.4,5005,11.3,1.66,27.6,29,0.85,37.5,80.9,14040,1.3,83,108.2,160,,30.5,5.3,49.1,234.49,2153.17,28234,3220,21.65
Austria,49701,117.31,11.6,1,,0.92,8.16,39,0.55,0.6,8,0,0.06,3.5,14,,165,29.7,5879,10.4,1.46,48.1,20.1,0.86,44.5,72,1742,0.24,81.6,94.1,95,,30.3,5.5,25.4,258.09,1390.33,8056,3750,6.35
Azerbaijan,4782,,0.8,2.2,,0.76,2.68,,0.39,0.03,96.9,0,0.05,20.4,14,1765,22,26.6,634,4,1.8,28.1,19.9,0.78,32.6,65.4,85710,0.98,71.4,15.9,208,98.4,23.7,2.5,725,152.07,76.49,542,3020,11.95
Bahamas,34864,55.99,4.4,32,,0.81,,,,0.95,0.1,0,0,12.6,,,194,,2005,3.4,1.74,11.8,31.6,0.87,,,,1.01,73.2,123.6,442,,27.9,2.8,,104.76,51.86,,2710,24.85
Bahrain,23504,58.53,1.9,0.5,,0.85,2.49,,0.94,0.15,73.7,0.03,,6.9,,,66,,1955,7.2,1.96,28.1,29.8,0.91,32.9,66.4,36000,4.26,75.8,70.7,234,42.3,26.3,2.3,,,205.17,40,,27.15
Bangladesh,1846,36.02,0,2.4,,0.63,5.99,,1,0,90.4,0.01,,30.8,9,214,12,32.4,110,3.9,2.01,51.5,3.6,0.78,27.9,55.6,25,1.04,74.3,3.1,48,39.4,25,2,307,21.91,19.43,,2270,25
Barbados,18149,105.71,9.6,9.8,,0.81,,,,0.74,1.5,0,,12.7,,6500,100,,1204,0.3,1.62,10.5,23.1,0.82,39.5,64.7,3521,0.24,76,88.7,296,98.5,31.8,4.7,,110.48,132.57,,3020,26
Belarus,6674,68.73,11.2,2.4,,0.82,2.59,,0.34,0.55,0.75,0,0.06,3.2,14,0,66,25.2,1132,16.5,1.38,37.3,24.5,0.75,40.9,57.9,2637,-0.15,74.8,58.6,345,98.6,25.3,4.8,,133.73,124.83,8205,3150,6.15
Belgium,46198,107.12,12.1,1.7,,0.93,7.51,43,0.33,0.65,7.6,0,0.18,3.4,12,21845,269,27.4,5405,13.9,1.57,29.9,22.1,0.87,41.6,67.3,,0.58,81.4,86.1,95,,30,6.5,,236.19,1366.29,13913,3690,9.55
Belize,4884,49.44,6.7,37.8,,0.72,,,0.62,0.77,0.2,0.01,,12.3,,3861,75,53.3,506,7.7,2.27,,24.1,0.46,23.9,55.4,5464,2.05,74.4,74.7,307,44.8,28.6,7.4,,80.3,23.49,,2710,25.3
Benin,1220,,3,1.1,,0.55,4.58,,0.93,0.43,27.7,0,,90.3,,819,26,47.8,83,12.7,4.77,17.1,9.6,0.14,17,55.3,,2.73,63.4,16.2,70,7,18.7,4,,8.4,19.85,84,2510,27.55
Bermuda,117768,,,8.1,,,,,,0.65,1,0.01,0,,,,47,,,,1.59,,,0.96,43.6,,,,,,278,,,,,95.56,,,2650,
Bhutan,3361,,0.6,1.2,,0.65,5.71,,,0.01,0.2,0.75,,28.5,10,639,108,37.4,322,5.1,1.95,,6.4,0.52,29.1,62.9,,1.18,73.1,3,145,14.9,22.8,6.6,0,,70.26,,,7.4
Bolivia,3552,,4.8,6.2,,0.72,5.08,,0.89,0.89,0.1,0,0,26,14,4071,33,42.2,496,6.8,2.69,,20.2,0.43,25.3,42.3,5334,1.47,72.1,50,164,67.5,24.1,7.3,,46.04,9.07,1578,2100,21.55
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
